,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
451,resistencia,AR,-27.46,-58.98,50.0,43,1,9.17
452,belyy yar,RU,53.6,91.39,68.0,64,16,2.24
453,slangerup,DK,55.85,12.18,64.0,93,99,1.01
454,natchitoches,US,31.77,-93.13,75.2,69,1,4.38
455,pangkalanbuun,ID,-2.68,111.62,92.98,42,49,3.94
456,paka,MY,4.64,103.44,89.6,66,40,8.05
457,northampton,US,40.88,-75.25,63.0,94,0,4.61
458,asyut,EG,27.18,31.18,75.2,64,0,8.05
459,alofi,NU,-19.06,-169.92,80.6,83,3,9.17
460,muriwai beach,NZ,-36.82,174.45,64.0,72,10,8.01
461,quesnel,CA,53.0,-122.5,66.2,63,90,6.93
462,nhulunbuy,AU,-12.23,136.77,84.2,51,20,10.29
463,san luis,AR,-33.3,-66.34,31.3,69,0,6.02
464,san jose del palmar,CO,4.97,-76.23,61.05,100,95,0.85
465,lithgow,AU,-33.48,150.15,45.0,71,96,18.01
466,gorebridge,GB,55.85,-3.05,60.01,79,100,3.0
467,port blair,IN,11.67,92.75,85.69,71,78,15.64
468,khipro,PK,25.83,69.38,94.01,53,73,17.87
469,campo do brito,BR,-10.73,-37.49,73.4,88,40,3.36
470,palu,ID,-0.89,119.87,90.9,48,29,3.8
471,rawson,AR,-43.3,-65.1,42.71,61,1,10.98
472,constitucion,CL,-35.33,-72.42,43.97,69,0,7.4
473,vestmannaeyjar,IS,63.44,-20.27,48.16,82,100,8.03
474,luang prabang,LA,19.89,102.13,84.2,74,75,2.24
475,ruwi,OM,23.6,58.55,89.6,75,32,4.7
476,mandalgovi,MN,45.76,106.27,72.27,31,41,18.3
477,ughelli,NG,5.49,6.01,75.69,85,98,5.99
478,san pedro,PH,14.35,121.02,86.0,70,97,4.7
479,tchaourou,BJ,8.89,2.6,69.26,98,65,3.98
480,aksu,CN,41.12,80.26,82.63,28,82,4.0
481,great falls,US,47.5,-111.3,73.4,43,1,6.93
482,pochutla,MX,15.74,-96.47,75.0,91,31,3.69
483,lagos,NG,6.58,3.75,77.0,88,20,2.24
484,vestmanna,FO,62.16,-7.17,50.0,76,98,5.82
485,saldanha,ZA,-33.01,17.94,42.8,81,68,6.02
486,winneba,GH,5.35,-0.62,75.2,94,40,9.17
487,vila velha,BR,-20.33,-40.29,75.99,83,20,11.41
488,erenhot,CN,43.65,111.98,70.77,33,18,8.03
489,koplik,AL,42.21,19.44,69.8,56,0,2.24
490,ayame,CI,5.61,-3.16,71.01,96,73,3.13
491,christchurch,NZ,-43.53,172.63,53.6,81,79,6.93
492,port-cartier,CA,50.03,-66.87,60.01,93,90,10.29
493,zaigrayevo,RU,51.83,108.27,75.2,50,20,4.47
494,pecos,US,31.42,-103.49,84.2,26,1,6.93
495,olga,RU,43.74,135.29,75.83,47,97,3.51
496,calama,CL,-22.47,-68.93,33.8,22,0,12.75
497,bozova,TR,37.36,38.53,82.4,28,0,3.36
498,paramonga,PE,-10.67,-77.83,60.51,83,81,8.05
499,posse,BR,-14.09,-46.37,67.35,44,0,4.76
500,gurupa,BR,-1.41,-51.64,74.93,90,79,4.45
501,salzgitter,DE,52.15,10.33,66.0,84,100,5.82
502,oistins,BB,13.07,-59.53,82.4,83,20,12.75
503,menongue,AO,-14.66,17.69,42.51,56,45,3.87
504,pevek,RU,69.7,170.31,40.44,91,100,15.41
505,qui nhon,VN,13.77,109.23,78.33,83,100,3.06
506,agirish,RU,61.92,63.02,52.39,98,100,7.29
507,tutoia,BR,-2.76,-42.27,78.04,80,74,10.42
508,tura,IN,25.52,90.22,79.25,83,97,8.57
509,osa,RU,57.28,55.46,48.4,93,100,14.09
511,kosh-agach,RU,50.0,88.67,59.81,36,0,2.89
512,dingle,PH,11.0,122.67,81.5,84,100,7.9
513,boende,CD,-0.22,20.87,73.53,93,97,1.57
514,naryan-mar,RU,67.67,53.09,56.7,82,100,11.72
515,luwuk,ID,-0.95,122.79,84.76,57,62,6.8
516,savannakhet,LA,16.57,104.75,80.6,83,75,2.24
517,russell,US,32.35,-85.2,75.2,73,75,4.7
518,katherine,AU,-14.47,132.27,96.8,22,3,8.05
519,portland,US,45.52,-122.68,73.99,60,75,6.93
520,rocha,UY,-34.48,-54.33,39.38,75,7,10.11
521,muret,FR,43.33,1.25,73.99,83,0,13.87
522,broome,US,42.25,-75.83,57.2,67,1,3.36
523,antofagasta,CL,-23.65,-70.4,55.4,71,75,4.7
524,iki-burul,RU,45.82,44.65,77.0,33,0,4.47
525,yiyang,CN,28.59,112.33,88.36,70,98,1.1
526,sulangan,PH,11.14,123.72,82.54,71,100,5.44
527,elsterwerda,DE,51.45,13.53,60.01,87,89,4.7
528,cacapava do sul,BR,-30.51,-53.49,36.36,82,51,5.77
529,chara,RU,56.91,118.26,69.12,35,32,2.26
530,quzhou,CN,28.96,118.87,93.6,54,47,4.29
531,grand gaube,MU,-20.01,57.66,75.0,61,13,8.01
532,hauterive,FR,46.09,3.45,69.8,60,0,4.7
533,manokwari,ID,-0.87,134.08,84.61,67,38,10.27
534,robertsport,LR,6.75,-11.37,76.17,87,100,15.7
535,gorontalo,ID,0.54,123.06,87.73,55,3,7.2
536,zacatlan,MX,19.93,-97.97,56.16,88,93,4.32
537,fonte boa,BR,-2.5,-66.27,76.37,76,0,1.72
538,kloulklubed,PW,7.04,134.26,86.0,70,75,10.29
539,popondetta,PG,-8.75,148.25,86.13,58,14,7.11
540,ntcheu,MW,-14.82,34.64,63.55,65,29,8.25
